School,seeding,offense,defense,SOS,FT_pct,FT_att,FT_ave
Oral Roberts NCAA,12,3,186,229,14,303,158.5
Arizona NCAA,2,4,141,29,215,34,124.5
Alabama NCAA,1,7,233,9,141,16,78.5
Furman NCAA,13,8,149,255,83,70,76.5
College of Charleston NCAA,12,14,266,276,87,57,72
Texas A&M-Corpus Christi NCAA,16,17,109,348,6,48,27
Iowa NCAA,8,18,62,28,93,66,79.5
Marquette NCAA,2,20,169,46,164,281,222.5
Memphis NCAA,8,22,128,59,59,35,47
Missouri NCAA,7,23,56,56,39,193,116
Miami (FL) NCAA,5,25,123,87,13,183,98
Florida Atlantic NCAA,9,28,322,135,188,205,196.5
Connecticut NCAA,4,31,317,55,53,124,88.5
Colgate NCAA,15,32,217,334,338,306,322
Utah State NCAA,10,33,200,57,31,98,64.5
Fairleigh Dickinson NCAA,16,43,52,363,63,245,154
Baylor NCAA,3,54,181,5,56,42,49
Kent State NCAA,13,61,309,178,146,127,136.5
Kansas State NCAA,3,86,221,11,50,45,47.5
Howard NCAA,16,87,129,312,197,94,145.5
Grand Canyon NCAA,14,92,283,124,186,67,126.5
Drake NCAA,12,95,331,171,23,280,151.5
UNC Asheville NCAA,15,99,227,303,269,24,146.5
Kansas NCAA,1,106,246,1,181,195,188
Illinois NCAA,9,111,275,51,309,80,194.5
Arkansas NCAA,8,118,263,13,284,26,155
Montana State NCAA,14,123,292,188,38,11,24.5
UCLA NCAA,2,126,358,24,162,263,212.5
Purdue NCAA,1,143,343,21,79,59,69
Vermont NCAA,15,151,291,250,261,295,278
Southern California NCAA,10,154,268,41,75,108,91.5
Auburn NCAA,9,155,274,17,239,55,147
Nevada NCAA,11,157,280,64,4,30,17
Duke NCAA,5,159,332,61,22,189,105.5
Penn State NCAA,10,165,237,27,101,363,232
UC Santa Barbara NCAA,14,166,311,199,133,142,137.5
Boise State NCAA,10,169,330,66,115,214,164.5
Tennessee NCAA,4,182,361,44,196,172,184
Saint Mary's (CA) NCAA,5,186,359,60,273,209,241
Arizona State NCAA,11,208,257,40,285,144,214.5
Michigan State NCAA,7,212,264,4,33,339,186
Texas Southern NCAA,16,234,137,277,334,58,196
Iowa State NCAA,6,268,341,8,317,307,312
Northern Kentucky NCAA,16,271,336,244,277,294,285.5
Northwestern NCAA,7,281,345,38,48,225,136.5
Mississippi State NCAA,11,321,353,58,346,100,223
Xavier NCAA,3,12,69,18,198,134,166
Houston NCAA,1,101,362,93,171,239,205
San Diego State NCAA,5,172,335,37,121,111,116
Indiana NCAA,4,100,232,20,205,204,204.5
Iona NCAA,13,67,323,240,125,191,158
NC State NCAA,11,35,163,85,167,289,228
Creighton NCAA,6,62,235,15,25,275,150
Kennesaw State NCAA,14,93,222,211,332,51,191.5
Louisiana NCAA,13,40,196,166,298,36,167
Princeton NCAA,15,79,228,228,208,136,172
Gonzaga NCAA,3,1,99,53,245,52,148.5
Providence NCAA,11,36,145,73,68,27,47.5
TCU NCAA,6,97,248,23,242,63,152.5
Virginia NCAA,4,279,357,72,244,153,198.5
Kentucky NCAA,6,98,245,43,234,103,168.5
Texas A&M NCAA,7,141,297,49,37,1,19
Southeast Missouri State NCAA,16,44,34,336,192,14,103
Virginia Commonwealth NCAA,12,187,340,116,260,23,141.5
West Virginia NCAA,9,71,155,3,84,17,50.5
Texas NCAA,2,41,265,7,46,122,84
Maryland NCAA,8,201,337,47,96,143,119.5
Pittsburgh NCAA,11,77,173,97,35,135,85
